@BENNET_SURNAME@, Bennet

@BINGLEY_SURNAME@, Bingley
@BINGLEY_FIRSTNAME@, Charles

@DARCY_SURNAME@, Darcy
@DARCY_FIRSTNAME@, Fitzwilliam

@CATHERINE_FIRSTNAME@, Catherine
@CATHERINE_NICKNAME@, Kitty

@ELIZABETH_FIRSTNAME@, Elizabeth
@ELIZABETH_NICKNAME@, Lizzy

@MARY_FIRSTNAME@, Mary

@JANE_FIRSTNAME@, Jane

@LYDIA_FIRSTNAME@, Lydia

@CHARLOTTE_FIRSTNAME@, Charlotte
@CHARLOTTE_LASTNAME@, Lucas

@LONGBOURN_ESTATE@, Longbourn
@NETHERFIELD_ESTATE@, Netherfield
@PEMBERLEY_ESTATE@, Pemberley

@WICKHAM_SURNAME@, Wickham
@WICKHAM_FIRSTNAME@, George
